"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"bibd_49_3.mtx.hgr","SPM",32,7698,7846.8,0.001562499999999,0.1509
"bibd_49_3.mtx.hgr","SPM",64,10469,10693.1,0.003819444444442,0.1817
"bibd_49_3.mtx.hgr","SPM",128,13773,14062,0.00694444444444,0.2191
"bips07_1998.mtx.hgr","SPM",2,58,64.9,0.000504447099429,0.0115
"bips07_1998.mtx.hgr","SPM",4,127,147.9,0.006344571276877,0.0206
"bips07_1998.mtx.hgr","SPM",8,255,279.7,0.004246284501061,0.032
"bips07_1998.mtx.hgr","SPM",16,439,478.5,0.007855626326966,0.0458
"bips07_1998.mtx.hgr","SPM",32,732,770.1,0.00636942675159,0.0615
"bips07_1998.mtx.hgr","SPM",64,1150,1199.9,0.00762711864407,0.0812
"bips07_1998.mtx.hgr","SPM",128,1881,1932.3,0.007627118644071,0.1065
"bloweya.mtx.hgr","SPM",2,4859,4871.6,0.02958272230369,0.0343
"bloweya.mtx.hgr","SPM",4,7460,7473.3,0.02923610185308,0.0493
"bloweya.mtx.hgr","SPM",8,8777,8799.8,0.0276726206345,0.0698
"bloweya.mtx.hgr","SPM",16,9466,9497.5,0.02638592750535,0.1029
"bloweya.mtx.hgr","SPM",32,9887,9905.9,0.0227078891258,0.1591
"bloweya.mtx.hgr","SPM",64,10236,10251.2,0.01940298507463,0.1889
"bloweya.mtx.hgr","SPM",128,10653,10682.5,0.01702127659571,0.2406
"bundle1.mtx.hgr","SPM",2,1246,1437.4,0.0003024003024,0.1947
"bundle1.mtx.hgr","SPM",4,3639,4081.8,0,0.4451
"bundle1.mtx.hgr","SPM",8,7950,8655.9,0.005215419501136,0.8844
"bundle1.mtx.hgr","SPM",16,13743,14281.3,0.007250755287008,1.4044
"bundle1.mtx.hgr","SPM",32,18055,18634.7,0.008459214501508,1.7432
"bundle1.mtx.hgr","SPM",64,21635,22619.2,0.006626506024096,1.9502
"bundle1.mtx.hgr","SPM",128,24922,26958.7,0.01084337349399,2.1065
"c-55.mtx.hgr","SPM",2,3570,3665.5,0.021214154972535,0.1591
"c-55.mtx.hgr","SPM",4,7186,7443.3,0.02151311775472,0.2773
"c-55.mtx.hgr","SPM",8,12829,13049.3,0.013567593948272,0.3995
"c-55.mtx.hgr","SPM",16,18648,18899.7,0.009809663250371,0.4932
