"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"Baumann.mtx.hgr","SPM",16,12658,12658,0.00270886797833,3.789
"Baumann.mtx.hgr","SPM",32,19826,19826,0.00313658397491,5.027
"Baumann.mtx.hgr","SPM",64,27992,27992,0.00456100342075,7.034
"Baumann.mtx.hgr","SPM",128,39889,39889,0.00456100342075,8.296
"bayer04.mtx.hgr","SPM",2,55,55,0.0186897692982,0.234
"bayer04.mtx.hgr","SPM",4,179,179,0.00545065213159,0.221
"bayer04.mtx.hgr","SPM",8,371,371,0.0108991825613,0.297
"bayer04.mtx.hgr","SPM",16,684,684,0.00933852140078,0.519
"bayer04.mtx.hgr","SPM",32,1254,1254,0.00933125972006,0.675
"bayer04.mtx.hgr","SPM",64,2883,2883,0.0124223602484,0.916
"bayer04.mtx.hgr","SPM",128,5458,5458,0.00621118012422,1.246
"bbmat.mtx.hgr","SPM",2,1148,1148,0,1.268
"bbmat.mtx.hgr","SPM",4,3000,3000,0,3.152
"bbmat.mtx.hgr","SPM",8,6543,6543,0.00330373735288,3.88
"bbmat.mtx.hgr","SPM",16,10956,10956,0.00454170107349,5.925
"bbmat.mtx.hgr","SPM",32,18906,18906,0.00330305532618,7.37
"bbmat.mtx.hgr","SPM",64,31657,31657,0.003300330033,9.487
"bbmat.mtx.hgr","SPM",128,52472,52472,0.003300330033,11.162
"bcsstk29.mtx.hgr","SPM",2,360,360,0.0137221269297,0.434
"bcsstk29.mtx.hgr","SPM",4,1140,1140,0.0137221269297,0.589
"bcsstk29.mtx.hgr","SPM",8,2586,2586,0.00857632933105,1.108
"bcsstk29.mtx.hgr","SPM",16,4379,4379,0.008,1.529
"bcsstk29.mtx.hgr","SPM",32,6835,6835,0.00684931506849,1.877
"bcsstk29.mtx.hgr","SPM",64,10697,10697,0,2.325
"bcsstk29.mtx.hgr","SPM",128,16569,16569,0,2.651
"BenElechi1.mtx.hgr","SPM",2,1332,1332,0,5.133
"BenElechi1.mtx.hgr","SPM",4,3558,3558,0.000504319250354,11.47
"BenElechi1.mtx.hgr","SPM",8,8748,8748,0.000488042947779,18.907
"BenElechi1.mtx.hgr","SPM",16,15012,15012,0.00416449765747,27.99
"BenElechi1.mtx.hgr","SPM",32,23968,23968,0.00260281103592,32.78
"BenElechi1.mtx.hgr","SPM",64,36076,36076,0.00416449765747,43.243
"BenElechi1.mtx.hgr","SPM",128,55578,55578,0.00260281103592,44.472
"bibd_49_3.mtx.hgr","SPM",2,783,783,0,0.153
"bibd_49_3.mtx.hgr","SPM",4,1626,1626,0,0.306
"bibd_49_3.mtx.hgr","SPM",8,3061,3061,0,0.444
"bibd_49_3.mtx.hgr","SPM",16,5247,5247,0,0.593
"bibd_49_3.mtx.hgr","SPM",32,7282,7282,0,0.745
"bibd_49_3.mtx.hgr","SPM",64,10180,10180,0,0.951
