"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"c-64.mtx.hgr","SPM",32,32480,34237.8,0.02752351097177,41.5619
"c-64.mtx.hgr","SPM",64,39127,41653.2,0.02706766917292,47.1543
"c-64.mtx.hgr","SPM",128,45511,47095.4,0.02556390977446,53.7831
"ca-CondMat.mtx.hgr","SPM",2,4299,4337.5,0.0070199706060355,8.8932
"ca-CondMat.mtx.hgr","SPM",4,9320,9402.8,0.013468188105114,14.9457
"ca-CondMat.mtx.hgr","SPM",8,14622,14696.8,0.01787690179807,22.5062
"ca-CondMat.mtx.hgr","SPM",16,19520,19718.1,0.02351313969571,27.4093
"ca-CondMat.mtx.hgr","SPM",32,24356,24517.2,0.02185338865839,33.0124
"ca-CondMat.mtx.hgr","SPM",64,28592,28780.2,0.02099447513813,39.2949
"ca-CondMat.mtx.hgr","SPM",128,32810,32934.9,0.02099447513812,45.3851
"cage10.mtx.hgr","SPM",2,2226,2227.9,0.02967187225827,5.7724
"cage10.mtx.hgr","SPM",4,5226,5256,0.02768421052631,11.5553
"cage10.mtx.hgr","SPM",8,8483,8553.7,0.02407017543859,17.4987
"cage10.mtx.hgr","SPM",16,12045,12251.1,0.02328190743339,22.621
"cage10.mtx.hgr","SPM",32,16353,16545.9,0.02240896358545,28.4619
"cage10.mtx.hgr","SPM",64,21970,22164.1,0.02067039106146,35.3609
"cage10.mtx.hgr","SPM",128,29144,29418.2,0.01555555555554,42.7916
"case39.mtx.hgr","SPM",2,9817,10001,0.02970956833103,32.0359
"case39.mtx.hgr","SPM",4,15167,15415,0.02824746369604,38.1138
"case39.mtx.hgr","SPM",8,17977,18171.3,0.02667594987069,44.2928
"case39.mtx.hgr","SPM",16,19787,20226.2,0.02382657120128,50.522
"case39.mtx.hgr","SPM",32,21641,21945.8,0.02330946698488,53.1077
"case39.mtx.hgr","SPM",64,24046,24479.5,0.02114467408586,61.8922
"case39.mtx.hgr","SPM",128,28716,29165.9,0.0174603174603,68.6176
"ccc.mtx.hgr","SPM",2,0,0,0,4.1714
"ccc.mtx.hgr","SPM",4,4096,4096,0,10.7182
"ccc.mtx.hgr","SPM",8,8192,8192,0,15.98
"ccc.mtx.hgr","SPM",16,12288,12288,0,21.1391
"ccc.mtx.hgr","SPM",32,16384,16384,0,26.4674
"ccc.mtx.hgr","SPM",64,20480,20480,0,32.1209
"ccc.mtx.hgr","SPM",128,24576,24576,0,38.2649
"cfd1.mtx.hgr","SPM",2,1554,1561,0.011594202898556,24.8243
"cfd1.mtx.hgr","SPM",4,3234,3543.4,0.0144927536232,48.2075
"cfd1.mtx.hgr","SPM",8,6513,6665.2,0.013032155797108,71.8956
"cfd1.mtx.hgr","SPM",16,10802,11368.4,0.019202898550739,96.2415
"cfd1.mtx.hgr","SPM",32,20728,21017.4,0.01435688405797,124.3263
"cfd1.mtx.hgr","SPM",64,34049,34284.2,0.01539855072462,155.2412
"cfd1.mtx.hgr","SPM",128,50597,50921,0.0144927536232,191.9339
"Chebyshev4.mtx.hgr","SPM",2,1044,1044,0.00381668183553,18.4651
"Chebyshev4.mtx.hgr","SPM",4,2104,2104,0.00763313956902,34.2089
"Chebyshev4.mtx.hgr","SPM",8,6336,6336,0.0152653828088,52.0116
"Chebyshev4.mtx.hgr","SPM",16,10858,10858.6,0.02238139971816,70.3755
"Chebyshev4.mtx.hgr","SPM",32,19864,19873.2,0.01794269610148,91.5282
"Chebyshev4.mtx.hgr","SPM",64,30087,30111.2,0.02131455399061,116.6563
"Chebyshev4.mtx.hgr","SPM",128,50020,50063.4,0.01951219512197,150.3441
"Chem97Zt.mtx.hgr","SPM",2,106,107.8,0.00129585455483273,1.9818
"Chem97Zt.mtx.hgr","SPM",4,120,127.1,0.0037261474987123,3.2907
"Chem97Zt.mtx.hgr","SPM",8,125,130.1,0.006111397627639,4.6475
"Chem97Zt.mtx.hgr","SPM",16,133,143.6,0.007478081485303,6.1311
"Chem97Zt.mtx.hgr","SPM",32,186,199.5,0.008453608247417,7.6551
"Chem97Zt.mtx.hgr","SPM",64,274,280.8,0.008659793814426,9.4478
"Chem97Zt.mtx.hgr","SPM",128,387,397.6,0.00946502057612,11.6514
"circuit_3.mtx.hgr","SPM",2,1295,1302.4,0.02966688654353,0.8817
"circuit_3.mtx.hgr","SPM",4,2850,2901.9,0.0294525065963,1.708
"circuit_3.mtx.hgr","SPM",8,4452,4502.1,0.0290237467018,2.9843
"circuit_3.mtx.hgr","SPM",16,5354,5386.5,0.02849604221632,3.9883
"circuit_3.mtx.hgr","SPM",32,5963,5977.7,0.0263852242744,5.0642
"circuit_3.mtx.hgr","SPM",64,6488,6514.2,0.0263157894737,6.5639
"circuit_3.mtx.hgr","SPM",128,7120,7152.9,0.0210526315789,8.8009
"ckt11752_dc_1.mtx.hgr","SPM",2,116,116.7,0.00197175163977253,4.2356
"ckt11752_dc_1.mtx.hgr","SPM",4,679,684.6,0.01652180910993,8.204
"ckt11752_dc_1.mtx.hgr","SPM",8,2569,2583.1,0.02176082407856,12.3936
"ckt11752_dc_1.mtx.hgr","SPM",16,5117,5138.1,0.02285162536208,17.0913
"ckt11752_dc_1.mtx.hgr","SPM",32,9047,9082.1,0.02400257400255,22.3833
"ckt11752_dc_1.mtx.hgr","SPM",64,12816,12874.3,0.0235521235521,28.8712
"ckt11752_dc_1.mtx.hgr","SPM",128,16924,16994.3,0.02210796915164,37.3411
"cnr-2000.mtx.hgr","SPM",2,1466,1823.3,1.4743916598593e-05,103.866
"cnr-2000.mtx.hgr","SPM",4,2173,2677.8,0.00064872834500535,174.0649
"cnr-2000.mtx.hgr","SPM",8,3281,3631.7,0.00659049023221459,244.3353
"cnr-2000.mtx.hgr","SPM",16,4469,4821,0.011155887556516,302.2843
"cnr-2000.mtx.hgr","SPM",32,16511,17006.9,0.01579516414389,360.9863
"cnr-2000.mtx.hgr","SPM",64,38601,38912.6,0.01729899744447,415.4421
"cnr-2000.mtx.hgr","SPM",128,60183,61186.8,0.02028301886791,445.3992
"conf5_4-8x8-05.mtx.hgr","SPM",2,0,0,0,18.2074
"conf5_4-8x8-05.mtx.hgr","SPM",4,12288,12288,0,33.8809
"conf5_4-8x8-05.mtx.hgr","SPM",8,24576,24576,0,47.7949
"conf5_4-8x8-05.mtx.hgr","SPM",16,42240,43414.2,0.001171875,61.2972
"conf5_4-8x8-05.mtx.hgr","SPM",32,63030,64459.5,0.00625,72.8406
"conf5_4-8x8-05.mtx.hgr","SPM",64,85167,87456.9,0.008333333333333,83.7452
"conf5_4-8x8-05.mtx.hgr","SPM",128,108252,115575.9,0.00911458333334,97.7904
"copter1.mtx.hgr","SPM",2,930,930,0.02660550458716,3.6525
"copter1.mtx.hgr","SPM",4,2091,2100.3,0.02844867626569,7.5687
"copter1.mtx.hgr","SPM",8,4048,4053.7,0.02693915466792,12.2947
"copter1.mtx.hgr","SPM",16,6476,6485.1,0.02256267409471,17.7222
"copter1.mtx.hgr","SPM",32,9273,9283.4,0.02189239332097,24.4588
"copter1.mtx.hgr","SPM",64,13731,13749.5,0.016296296296282,32.3024
"copter1.mtx.hgr","SPM",128,19345,19384.8,0.015555555555541,42.563
"coupled.mtx.hgr","SPM",2,1791,1794.4,0.02981837418447,2.4581
"coupled.mtx.hgr","SPM",4,3087,3088.6,0.0292665726375,4.7587
"coupled.mtx.hgr","SPM",8,4106,4111.1,0.0287023977433,7.3627
"coupled.mtx.hgr","SPM",16,5430,5437.1,0.02665726375176,10.3784
"coupled.mtx.hgr","SPM",32,7124,7133.3,0.02394366197186,14.0545
"coupled.mtx.hgr","SPM",64,9435,9474.1,0.02078651685397,18.1525
"coupled.mtx.hgr","SPM",128,12389,12443,0.0168539325843,23.0543
"crashbasis.mtx.hgr","SPM",2,1600,1600,0.012525,16.7789
"crashbasis.mtx.hgr","SPM",4,3232,3278.4,0.008575,31.6459
"crashbasis.mtx.hgr","SPM",8,6496,6570.4,0.00741,47.7521
"crashbasis.mtx.hgr","SPM",16,9904,10044.8,0.00905,58.5894
"crashbasis.mtx.hgr","SPM",32,16444,16514.6,0.0129,75.2068
"crashbasis.mtx.hgr","SPM",64,23552,23646.4,0.01412,91.0482
"crashbasis.mtx.hgr","SPM",128,36868,37012.6,0.01688,110.867
"cryg10000.mtx.hgr","SPM",2,200,200,0.02768,0.5653
"cryg10000.mtx.hgr","SPM",4,365,380.2,0.02564,1.232
"cryg10000.mtx.hgr","SPM",8,679,708.2,0.02368,2.0541
"cryg10000.mtx.hgr","SPM",16,1055,1080.9,0.0208,3.2005
"cryg10000.mtx.hgr","SPM",32,1578,1635.5,0.01725239616616,4.848
"cryg10000.mtx.hgr","SPM",64,2327,2397,0.013375796178358,7.0824
"cryg10000.mtx.hgr","SPM",128,3482,3521.8,0.0126582278481,11.4757
"crystk02.mtx.hgr","SPM",2,798,798,0.0284977803236,3.758
"crystk02.mtx.hgr","SPM",4,2436,2448.6,0.01512027491408,7.561
