"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"bbmat.mtx.hgr","SPM",4,2996,2998,0.0094672684,4.8691438
"bbmat.mtx.hgr","SPM",8,6009,6349,0.02556266,8.535586
"bbmat.mtx.hgr","SPM",16,10654,10996,0.02914946,13.282453
"bbmat.mtx.hgr","SPM",32,17520,17760.9,0.0297275,20.05324
"bbmat.mtx.hgr","SPM",64,30083,30300.7,0.029703,32.11424
"bbmat.mtx.hgr","SPM",128,49860,50192.9,0.029703,52.181029
"bcsstk29.mtx.hgr","SPM",2,360,363.6,0.0100343053,0.21155708
"bcsstk29.mtx.hgr","SPM",4,1080,1089.6,0.02212692,0.47346251
"bcsstk29.mtx.hgr","SPM",8,2376,2417.6,0.02607205,0.97254229
"bcsstk29.mtx.hgr","SPM",16,4096,4158.9,0.02742855,1.40067835
"bcsstk29.mtx.hgr","SPM",32,6387,6465,0.02853885,2.94052962
"bcsstk29.mtx.hgr","SPM",64,9672,9785.3,0.02146119,4.901528703
"bcsstk29.mtx.hgr","SPM",128,15440,15649.8,0.03090906,134.091284248
"BenElechi1.mtx.hgr","SPM",2,1296,1305.6,0.0051896464,0.52382716
"BenElechi1.mtx.hgr","SPM",4,3414,3516,0.0174592,0.76496918
"BenElechi1.mtx.hgr","SPM",8,8292,8480.8,0.02382625,1.3252005
"BenElechi1.mtx.hgr","SPM",16,14236,14445.4,0.0269521,2.4634486
"BenElechi1.mtx.hgr","SPM",32,23076,23437.5,0.0294638,5.1428903
"BenElechi1.mtx.hgr","SPM",64,35688,36015.9,0.02899533,9.2516555
"BenElechi1.mtx.hgr","SPM",128,54538,54751.2,0.02821446,14.8138411
"bibd_49_3.mtx.hgr","SPM",2,1020,1045.3,0,3.0390329
"bibd_49_3.mtx.hgr","SPM",4,2380,2503.9,6.51324e-05,6.0090927
"bibd_49_3.mtx.hgr","SPM",8,3771,3853.3,0.0011289626,9.087816
"bibd_49_3.mtx.hgr","SPM",16,5283,5364,0.009722212,20.254913
"bibd_49_3.mtx.hgr","SPM",32,6982,7103.3,0.02829863,34.967006
"bibd_49_3.mtx.hgr","SPM",64,9028,9104.6,0.0277778,19.5807927
"bibd_49_3.mtx.hgr","SPM",128,13684,14387.1,0.02291666,14.92380747
"bips07_1998.mtx.hgr","SPM",2,58,65.2,0.008628699,0.28988321
"bips07_1998.mtx.hgr","SPM",4,115,128.6,0.021157433,0.47417948
"bips07_1998.mtx.hgr","SPM",8,242,251.1,0.014755824,0.79653995
"bips07_1998.mtx.hgr","SPM",16,406,420.7,0.02356689,1.29139032
"bips07_1998.mtx.hgr","SPM",32,644,667,0.0284501,2.1229865
"bips07_1998.mtx.hgr","SPM",64,978,990.2,0.029661,3.47776743
"bips07_1998.mtx.hgr","SPM",128,1565,1579.6,0.0254237,5.95050542
"bloweya.mtx.hgr","SPM",2,4855,4999.8,0.02991599,23.5685978
"bloweya.mtx.hgr","SPM",4,7576,7601.3,0.02980938,5.5903611
"bloweya.mtx.hgr","SPM",8,8950,8979.1,0.02967208,4.7608027
"bloweya.mtx.hgr","SPM",16,9681,9720.3,0.02942429,5.928025
"bloweya.mtx.hgr","SPM",32,10146,10180.5,0.02953088,8.620559
"bloweya.mtx.hgr","SPM",64,10341,10465.1,0.02942428,52.706386
"bloweya.mtx.hgr","SPM",128,10883,10900.1,0.02936167,111.3997
"bundle1.mtx.hgr","SPM",2,1246,1335.3,0.010395002,0.70158148
"bundle1.mtx.hgr","SPM",4,3413,3468.1,0.02116403,1.3429042
"bundle1.mtx.hgr","SPM",8,7335,7400.1,0.01836736,1.5350544
"bundle1.mtx.hgr","SPM",16,12809,12870.7,0.0287009,1.3659766551
"bundle1.mtx.hgr","SPM",32,16305,16398.6,0.02688819,1.708484473
"bundle1.mtx.hgr","SPM",64,19220,19281.3,0.0240964,2.10154324
"bundle1.mtx.hgr","SPM",128,22696,23046,0.03373496,68.399222026
"c-55.mtx.hgr","SPM",2,3545,3652,0.02416107128,9.9803276
"c-55.mtx.hgr","SPM",4,6992,7196.3,0.02966444,8.100622
"c-55.mtx.hgr","SPM",8,12154,12439.9,0.02945338,12.615653
"c-55.mtx.hgr","SPM",16,17238,17602.7,0.02938017,20.086399
"c-55.mtx.hgr","SPM",32,22883,23125.8,0.0292683,31.71385
"c-55.mtx.hgr","SPM",64,28918,29177.6,0.0292398,45.493035
